index,person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status
0,22,59000,RENT,PERSONAL,D,35000,16.02,YES
1,25,9600,MORTGAGE,MEDICAL,C,5500,12.87,YES
2,23,65500,RENT,MEDICAL,C,35000,15.23,YES
3,24,54400,RENT,MEDICAL,C,35000,14.27,YES
4,21,9900,OWN,VENTURE,A,2500,7.14,YES
5,26,77100,RENT,EDUCATION,B,35000,12.42,YES
6,24,78956,RENT,MEDICAL,B,35000,11.11,YES
7,24,83000,RENT,PERSONAL,A,35000,8.9,YES
8,21,10000,OWN,VENTURE,D,1600,14.74,YES
9,22,85000,RENT,VENTURE,B,35000,10.37,YES
10,21,10000,OWN,HOMEIMPROVEMENT,A,4500,8.63,YES
11,23,95000,RENT,VENTURE,A,35000,7.9,YES
12,26,108160,RENT,EDUCATION,E,35000,18.39,YES
13,23,92111,RENT,MEDICAL,F,35000,20.25,YES
14,23,113000,RENT,DEBTCONSOLIDATION,D,35000,18.25,YES
15,24,10800,MORTGAGE,EDUCATION,B,1750,10.99,YES
16,22,65000,RENT,EDUCATION,D,34000,17.58,YES
17,22,80000,RENT,PERSONAL,D,33950,14.54,YES
18,24,67746,RENT,HOMEIMPROVEMENT,C,33000,12.68,YES
19,21,11000,MORTGAGE,VENTURE,E,4575,17.74,YES
20,24,65000,RENT,HOMEIMPROVEMENT,B,32500,9.99,YES
21,21,11389,OTHER,EDUCATION,C,4000,12.84,YES
22,21,11520,OWN,MEDICAL,B,2000,11.12,YES
23,26,95000,RENT,HOMEIMPROVEMENT,C,31050,14.17,YES
24,21,12000,OWN,EDUCATION,A,2500,7.51,YES
25,22,48000,RENT,EDUCATION,E,30000,18.39,YES
26,24,64000,RENT,DEBTCONSOLIDATION,D,30000,14.54,YES
27,25,75000,RENT,HOMEIMPROVEMENT,D,30000,16.89,YES
28,26,62050,RENT,MEDICAL,E,30000,17.99,YES
29,24,12000,OWN,VENTURE,B,2500,12.69,YES
30,26,80690,RENT,PERSONAL,A,30000,7.49,YES
31,22,66300,RENT,MEDICAL,B,30000,12.69,YES
32,26,89028,RENT,DEBTCONSOLIDATION,A,30000,6.62,YES
33,23,78000,RENT,DEBTCONSOLIDATION,F,30000,18.62,YES
34,23,92004,RENT,PERSONAL,C,30000,15.23,YES
35,23,97000,RENT,VENTURE,B,30000,10.65,YES
36,25,221850,MORTGAGE,MEDICAL,D,25000,15.7,YES
37,22,70000,RENT,EDUCATION,D,29100,15.99,YES
38,21,12000,OWN,EDUCATION,C,3000,13.61,YES
39,23,65000,RENT,EDUCATION,A,28000,7.9,YES
40,26,85000,RENT,VENTURE,A,28000,7.49,YES
41,26,12000,OWN,EDUCATION,A,6100,7.51,YES
42,22,88000,RENT,VENTURE,B,28000,9.91,YES
43,21,12000,OWN,PERSONAL,C,4200,13.48,YES
44,22,12000,OWN,DEBTCONSOLIDATION,A,4750,7.14,YES
45,24,83004,RENT,VENTURE,D,28000,15.99,YES
46,21,12000,MORTGAGE,DEBTCONSOLIDATION,E,3250,15.68,YES
47,22,70000,RENT,EDUCATION,C,27500,13.06,YES
48,26,73200,RENT,VENTURE,D,27050,15.62,YES
49,24,83000,RENT,PERSONAL,C,27000,13.49,YES
50,23,62500,RENT,MEDICAL,B,26000,11.71,YES
51,22,60000,RENT,VENTURE,B,25475,10.99,YES
52,25,221004,MORTGAGE,DEBTCONSOLIDATION,D,11900,14.42,YES
53,23,83000,RENT,EDUCATION,B,25300,10.99,YES
54,21,42500,RENT,EDUCATION,C,25000,12.73,YES
55,25,12816,OWN,DEBTCONSOLIDATION,C,3000,12.87,YES
56,24,12960,MORTGAGE,HOMEIMPROVEMENT,B,3650,9.91,YES
57,26,213000,MORTGAGE,EDUCATION,B,35000,10.65,YES
58,24,12960,MORTGAGE,DEBTCONSOLIDATION,B,4500,11.83,YES
59,23,12996,OWN,DEBTCONSOLIDATION,C,2400,13.49,YES
60,22,42000,RENT,MEDICAL,D,25000,14.59,YES
61,26,48000,RENT,EDUCATION,B,25000,9.64,YES
62,25,12996,OWN,MEDICAL,D,3600,14.59,YES
63,25,42360,RENT,EDUCATION,E,25000,16.35,YES
64,21,49000,RENT,EDUCATION,B,25000,10.99,YES
65,22,49464,RENT,PERSONAL,B,25000,11.83,YES
66,23,50000,RENT,DEBTCONSOLIDATION,A,25000,7.9,YES
67,25,50000,RENT,HOMEIMPROVEMENT,A,25000,5.99,YES
68,24,44000,RENT,DEBTCONSOLIDATION,D,25000,15.33,YES
69,23,50000,RENT,VENTURE,B,25000,11.83,YES
70,22,50004,RENT,VENTURE,B,25000,10.36,YES
71,22,50004,RENT,VENTURE,C,25000,12.23,YES
72,22,52000,RENT,EDUCATION,B,25000,11.11,YES
73,23,13200,OWN,DEBTCONSOLIDATION,A,4950,7.9,YES
74,23,52000,RENT,PERSONAL,C,25000,13.22,YES
75,26,46000,RENT,DEBTCONSOLIDATION,D,25000,11.86,YES
76,22,53000,RENT,EDUCATION,C,25000,13.43,YES
